Run	tissue_type	individual_id
SRR975551	primary tumor	AMC_2
SRR975552	primary tumor	AMC_3
SRR975553	primary tumor	AMC_5
SRR975554	primary tumor	AMC_6
SRR975555	primary tumor	AMC_7
SRR975556	primary tumor	AMC_8
SRR975557	primary tumor	AMC_9
SRR975558	primary tumor	AMC_10
SRR975559	primary tumor	AMC_12
SRR975560	primary tumor	AMC_13
SRR975561	primary tumor	AMC_17
SRR975562	primary tumor	AMC_18
SRR975563	primary tumor	AMC_19
SRR975564	primary tumor	AMC_20
SRR975565	primary tumor	AMC_21
SRR975566	primary tumor	AMC_22
SRR975567	primary tumor	AMC_23
SRR975568	primary tumor	AMC_24
SRR975569	normal	AMC_2
SRR975570	normal	AMC_3
SRR975571	normal	AMC_5
SRR975572	normal	AMC_6
SRR975573	normal	AMC_7
SRR975574	normal	AMC_8
SRR975575	normal	AMC_9
SRR975576	normal	AMC_10
SRR975577	normal	AMC_12
SRR975578	normal	AMC_13
SRR975579	normal	AMC_17
SRR975580	normal	AMC_18
SRR975581	normal	AMC_19
SRR975582	normal	AMC_20
SRR975583	normal	AMC_21
SRR975584	normal	AMC_22
SRR975585	normal	AMC_23
SRR975586	normal	AMC_24
SRR975587	normal	AMC_2
SRR975588	colorectal cancer metastatic in the liver	AMC_3
SRR975589	colorectal cancer metastatic in the liver	AMC_5
SRR975590	colorectal cancer metastatic in the liver	AMC_6
SRR975591	colorectal cancer metastatic in the liver	AMC_7
SRR975592	colorectal cancer metastatic in the liver	AMC_8
SRR975593	colorectal cancer metastatic in the liver	AMC_9
SRR975594	colorectal cancer metastatic in the liver	AMC_10
SRR975595	colorectal cancer metastatic in the liver	AMC_12
SRR975596	colorectal cancer metastatic in the liver	AMC_13
SRR975597	colorectal cancer metastatic in the liver	AMC_17
SRR975598	colorectal cancer metastatic in the liver	AMC_18
SRR975599	colorectal cancer metastatic in the liver	AMC_19
SRR975600	colorectal cancer metastatic in the liver	AMC_20
SRR975601	colorectal cancer metastatic in the liver	AMC_21
SRR975602	colorectal cancer metastatic in the liver	AMC_22
SRR975603	colorectal cancer metastatic in the liver	AMC_23
SRR975604	colorectal cancer metastatic in the liver	AMC_24
